bidprice,clicks,CTR,cost,avg CPM,eCPC
197,59,0.06359403293955333,6250.054000001193,67.36714236441745,105.93311864408803
198,59,0.06371490280777538,6250.019000001193,67.49480561556364,105.93252542374903
199,59,0.06391714604526201,6250.122000001162,67.71016282623378,105.93427118646036
200,58,0.06311001817133281,6250.1330000011185,68.00793227643405,107.76091379312274
201,57,0.06280922524269705,6250.0010000011225,68.86977553967584,109.64914035089689
202,57,0.06290974107674988,6250.0180000011205,68.98017791317484,109.64943859651089
203,57,0.06302381636850135,6250.092000001117,69.10607903408945,109.65073684212487
204,57,0.06309218099707783,6250.009000001112,69.18012264235712,109.6492807017739
205,57,0.06319010243448184,6250.035000001104,69.28778102967833,109.64973684212463
206,57,0.06327568215625763,6250.03600000112,69.38163007039275,109.64975438598455
207,57,0.06337558372248166,6250.020000001136,69.49099399600998,109.64947368423046
208,57,0.06351257994785282,6250.070000001122,69.64176676399083,109.65035087721267
209,57,0.06364093116730865,6250.052000001115,69.78230335511768,109.65003508773886
210,58,0.06497798590649892,6250.030000001114,70.01971745780479,107.75913793105369
211,57,0.06396157816778131,6250.191000001096,70.13545266844446,109.65247368422975
212,57,0.06413357786603958,6250.008000001094,70.32199556691938,109.64926315791394
213,57,0.06443226134629515,6250.07400000108,70.65024585995681,109.65042105265053
214,56,0.06350070304349797,6250.001000001055,70.87133170047008,111.60716071430456
215,56,0.06361034122404471,6250.039000001068,70.99412740243842,111.60783928573336
216,55,0.0626402286937804,6250.102000001068,71.18323975264019,113.63821818183759
217,55,0.06273024852583915,6250.022000001059,71.28462424582341,113.63676363638288
218,56,0.06396271887242864,6250.007000001054,71.38704298067474,111.60726785716167
219,56,0.06403512784155879,6250.016000001052,71.46795956640273,111.60742857144736
220,56,0.06417529022129015,6250.098000001042,71.62533090385215,111.60889285716146
221,55,0.06327075280692067,6250.016000001034,71.89876679552081,113.63665454547333
222,55,0.06335821583264216,6250.037000001024,71.99839876510256,113.63703636365499
223,55,0.06346202663097408,6250.004000001007,72.11598550759244,113.63643636365467
224,55,0.0635118593962909,6250.022000001007,72.17282154323433,113.63676363638194
225,54,0.06274764986811374,6250.033000001021,72.62497821263344,115.74135185187076
226,54,0.06297890206780728,6250.138000000997,72.89385722450808,115.74329629631475
227,53,0.06191805787586013,6250.079000000984,73.01750061335075,117.92601886794309
228,53,0.062020220932409664,6250.058000000983,73.13773169819537,117.92562264152798
229,53,0.06210306765719106,6250.00600000099,73.2348199011154,117.92464150945264
230,53,0.062167900249844574,6250.040000000982,73.31167231652825,117.92528301888646
231,53,0.0622292148551703,6250.040000000978,73.38397773839046,117.92528301888638
232,53,0.06226869529460142,6250.05900000097,73.43075838572484,117.92564150945226
233,53,0.06230969092041994,6250.032000000973,73.47878531373486,117.92513207549007
234,53,0.06235587557061508,6250.010000000972,73.53298978776616,117.92471698115041
235,53,0.062400659327721195,6250.1100000009665,73.5869782775177,117.92660377360315
236,53,0.06251843114125627,6250.028000000955,73.72489531112893,117.9250566037916
237,53,0.06257378984651712,6250.058000000961,73.79053128690627,117.92562264152757
238,53,0.06266701350296781,6250.027000000959,73.90009932131575,117.92503773586715
239,53,0.06269221670215283,6250.0820000009535,73.93047078307255,117.9260754717161
240,53,0.06292444317804055,6250.060000000944,74.20406515649124,117.92566037737629
241,53,0.06302096338838749,6250.085000000939,74.31818452063567,117.9261320754894
242,53,0.06307571465974818,6250.104000000939,74.38297669769999,117.92649056605545
243,53,0.06312229050545472,6250.026000000942,74.43697298843482,117.9250188679423
244,53,0.06318098371599552,6250.041000000946,74.50636578214417,117.9253018868103
245,53,0.06322243561451014,6250.0580000009395,74.55545084754971,117.92562264152716
246,53,0.06327149440106965,6250.074000000937,74.61349473534533,117.92592452831957
247,53,0.06334484695645938,6250.000000000937,74.69911197696801,117.92452830190447
248,54,0.0646010288311999,6250.0170000009275,74.76991266899063,115.74105555557273
249,54,0.0646520760499976,6250.029000000925,74.82913893013894,115.74127777779492
250,54,0.06478548805067665,6250.026000000919,74.98351569249591,115.74122222223924
251,54,0.06487655433411425,6250.20600000092,75.0910794737901,115.74455555557259
252,54,0.06498429546193003,6250.035000000917,75.21372612730805,115.74138888890586
253,54,0.06504926879803406,6250.02200000091,75.28877056883069,115.74114814816501
254,54,0.06509474902357877,6250.009000000905,75.34125319447544,115.74090740742416
255,54,0.06514186450492183,6250.035000000905,75.39609872612557,115.74138888890565
256,54,0.06519928039312751,6250.009000000899,75.4622387501165,115.74090740742405
257,54,0.06525127783752432,6250.043000000896,75.52283190546898,115.74153703705363
258,54,0.06530651734855539,6250.066000000893,75.58704512197677,115.7419629629795
259,54,0.06535473095635756,6250.059000000892,75.64276377896657,115.74183333334986
260,53,0.06430243985295367,6250.0280000009025,75.82868859421403,117.92505660379061
261,53,0.06435787837575287,6250.064000000902,75.89450165145838,117.92573584907362
262,53,0.0644157611998347,6250.020000000899,75.96222562532996,117.92490566039432
263,53,0.0644651219363863,6250.031000000901,76.02056802287784,117.92511320756418
264,52,0.06329113924050633,6250.031000000907,76.07145813048815,120.19290384617128
265,52,0.06334433738168618,6250.083000000907,76.13603196453822,120.1939038461713
266,52,0.06338912388916657,6250.029000000905,76.18920434460406,120.1928653846328
267,52,0.06342855748822912,6250.0590000009015,76.23696665122712,120.19344230770965
